X,GSM300166,GSM300167,GSM300168,GSM300169,GSM300170,GSM300171,GSM300172,GSM300173,GSM300174,GSM300175,GSM300176,GSM300177,GSM300178,GSM300179,GSM300180,GSM300181,GSM300182,GSM300183,GSM300185,GSM300186,GSM300187,GSM300188,GSM300189,GSM300190,GSM300191,GSM300192,GSM300193,GSM300194,GSM300195,GSM300196,GSM300197,GSM300198,GSM300199,GSM300200,GSM300201,GSM300202,GSM300203,GSM300204,GSM300205,GSM300206,GSM300207,GSM300208,GSM300209,GSM300210,GSM300211,GSM300212,GSM300213,GSM300214,GSM300215,GSM300216,GSM300217,GSM300218,GSM300219,GSM300220,GSM300221,GSM300222,GSM300223,GSM300224,GSM300225,GSM300226,GSM300227,GSM300228,GSM300229,GSM300230,GSM300231,GSM300232,GSM300233,GSM300234,GSM300235,GSM300236,GSM300237,GSM300238,GSM300239,GSM300240,GSM300241,GSM300242,GSM300243,GSM300244,GSM300245,GSM300246,GSM300247,GSM300248,GSM300249,GSM300250,GSM300251,GSM300252,GSM300253,GSM300254,GSM300255,GSM300256,GSM300258,GSM300259,GSM300260,GSM300261,GSM300262,GSM300263,GSM300264,GSM300265,GSM300266,GSM300267,GSM300268,GSM300269,GSM300270,GSM300271,GSM300272,GSM300273,GSM300274,GSM300275,GSM300276,GSM300277,GSM300278,GSM300279,GSM300280,GSM300281,GSM300282,GSM300283,GSM300284,GSM300285,GSM300286,GSM300287,GSM300288,GSM300289,GSM300290,GSM300291,GSM300292,GSM300293,GSM300294,GSM300295,GSM300296,GSM300297,GSM300298,GSM300299,GSM300300,GSM300301,GSM300302,GSM300303,GSM300304,GSM300305,GSM300306,GSM300307,GSM300308,GSM300309,GSM300310,GSM300311,GSM300312,GSM300313,GSM300314,GSM300315,GSM300316,GSM300317,GSM300318,GSM300319,GSM300320,GSM300321,GSM300322,GSM300323,GSM300324,GSM300325,GSM300326,GSM300327,GSM300328,GSM300329,GSM300330,GSM300331,GSM300332,GSM300333,GSM300335,GSM300338,GSM300339,GSM300340,GSM300341,GSM318840,GSM350078,Cluster
117_at,0.8596384,1.0620298,3.0973945,2.2436552,5.0603013,13.800817,2.211287,0.824494,1.6506448,0.72315234,0.82068306,0.78828067,3.0418363,0.96156824,0.8110385,0.99393237,1.2870414,0.95443046,2.893376,0.97211105,1.3078353,1.4873922,10.866475,36.72309,1.4790733,1.0202985,2.433572,0.6249697,0.960078,1.2547724,2.2038796,1.12381,1.4836053,1.1633929,1.0001473,1.125242,0.9257676,1.02916,1.7534117,0.83011603,0.7911703,0.7609387,1.470457,0.5062764,0.86783344,1.614179,1.2203845,0.811636,1.2993919,0.6209447,1.4789361,3.3148854,14.23441,5.2075844,4.478744,1.2479895,1.3240104,0.7317285,0.90493333,2.2903714,79.80283,2.9581888,1.7116287,0.8075148,1.4257549,0.710509,0.9565245,1.037758,1.4551398,0.75925463,0.9014164,0.91850513,4.0660515,0.8647208,0.98009086,0.9588243,1.4023244,0.77323914,1.9659301,0.58741635,1.0890024,3.046338,0.7262965,0.8720676,1.108563,2.33795,0.8133364,0.9018342,0.89219975,0.69907516,0.7229871,0.73838466,1.2140082,0.79219115,0.9281813,0.6652379,0.9406928,0.80528265,0.9237959,1.227138,1.7084863,0.74264556,1.0402976,1.0299858,1.5201864,0.6940161,0.86429965,0.8948751,1.2874984,0.76460826,1.0118535,0.9089024,2.1546843,0.87012017,0.96709174,0.93474114,1.251843,0.758432,1.5455871,1.3565726,0.9764168,0.6049192,1.4509486,0.7829265,1.0461494,0.92158383,1.6619612,0.72185725,0.99197525,0.7149398,1.1436216,0.75400054,1.1870608,1.4158136,0.73688835,0.7330108,0.82385373,1.3371259,0.75957686,0.73918766,2.466771,1.1029994,0.780898,0.84987664,1.2925881,1.428116,0.80486554,0.9395169,0.8050449,1.291247,0.72424406,1.0346218,0.7969848,1.4110026,0.6877281,0.99700034,1.118329,1.7894638,1.0479962,0.91086775,0.99985254,1.8401252,0.7994937,0.85082304,1.2930151,1.5862281,0.8333732,0.9339586,1.4669862,0.6816892,1.023364,1.2713188,0.7602133,-1
1552278_a_at,0.8428868,0.80613834,1.290741,1.5798947,1.4245427,1.2267256,1.3414738,0.7558145,1.0886208,0.95825183,1.1888503,0.8061512,1.0020839,0.954463,1.208409,0.56111544,1.0183221,0.9604232,4.3853765,0.75070214,0.8230155,1.1479052,0.65950704,0.8785015,1.1236862,0.6740884,0.9736899,0.89905906,1.2178564,0.38398927,0.9375507,0.63827646,1.0707947,0.9232936,1.1061126,0.9146261,1.1139346,0.6704128,1.2312403,0.9127303,2.0051672,0.57308936,1.0639937,0.93751043,2.3671627,1.2924557,1.1014057,0.6529498,1.0894448,0.91083765,1.1299542,0.6761249,1.0700477,0.8169008,1.1948167,0.76831347,1.0169755,1.0896116,1.2489613,0.69377834,1.2506301,0.684332,0.82412493,1.3548807,1.0931592,0.9408769,1.2806218,0.4838361,1.0204427,0.6832578,0.8342736,0.64633626,1.0037907,0.9287089,2.0770748,0.69224715,0.8886943,0.9065531,0.98854464,1.0335519,1.1434442,0.652581,0.9325714,1.106318,0.81018484,0.6189097,1.1179283,1.2248785,0.66880614,0.7250895,0.7110293,1.1467642,1.2418021,0.6360616,1.0037078,1.0638177,1.1961468,0.910151,1.1934887,0.628789,1.0403173,1.0060439,1.6657784,0.6843322,1.9183828,1.0820332,1.3021736,0.8455338,1.2786998,1.1126685,1.2818094,0.6426914,1.057574,0.9288839,1.2680972,0.69220954,1.1601031,0.81286603,1.1376606,0.5151865,1.1354156,0.69919914,0.93242306,1.2535557,1.2317113,0.6788066,1.0629886,0.9189498,1.2445687,0.72908324,1.1817365,1.2784864,0.60872656,15.548653,0.97963655,1.187748,0.80843437,1.167079,0.9523052,1.1605337,0.63858485,1.364907,0.92051107,1.144505,0.67778385,1.032087,0.9979161,1.1957042,0.69946223,1.9209242,1.0898173,1.1987562,0.7752972,1.2084035,0.84559435,1.1932677,0.6095304,0.93136597,0.82542104,1.1551658,0.6422069,0.83793485,0.80999607,1.1191111,0.6391871,0.98015565,1.1274431,0.50404024,0.9356029,1.1319338,1.0618966,0.94938034,1.1626878,-1
1552326_a_at,0.7836036,1.3298553,2.1408184,8.423772,4.796162,3.8870425,3.1171222,0.9082251,0.8861023,0.7085122,0.69802433,0.7421727,0.8053949,0.6699077,1.1638607,1.1448178,0.97933245,0.8824908,3.1021175,2.5294266,2.2668302,0.96902245,2.0967965,1.9008893,2.5786312,0.7852097,7.5196743,0.77566165,0.79095143,2.0318098,1.3606695,0.8192776,1.2632715,0.988249,0.88502026,2.564044,0.90745515,0.952953,0.46956426,0.7018607,0.78249055,0.62176204,0.67729634,0.7188791,0.61180294,0.8640412,0.8705341,0.84098506,0.798268,0.6992175,0.6456037,0.6836084,1.0084639,0.6740908,0.86329985,0.48928362,0.5457422,0.712264,0.66999686,3.73216,4.322033,1.0038509,1.3836893,0.82949066,1.0122846,1.1271187,0.80859953,0.9195966,3.5319254,0.7065104,0.7983195,0.71471,1.89658,0.7889431,1.4171892,0.7439939,0.73676026,0.8580318,0.68443763,0.66788876,0.65659046,3.1859393,1.1808791,0.82817537,0.79242,1.1556599,0.6896547,0.7953642,1.4948094,0.8018472,0.72311294,0.6271056,0.8729587,11.6250105,0.8994159,0.78730774,0.60716873,0.7463784,0.72803414,4.4095125,0.80921155,0.6794537,0.75933367,0.57757825,6.9942894,0.76087946,0.7256079,0.7134985,0.8064617,0.74990696,0.72104734,0.9576361,0.8399264,0.8366134,0.7516287,0.9543555,0.78612626,0.84527683,1.1782907,2.6874304,1.2258868,0.7182223,0.80600435,0.8109743,0.7357701,0.7347938,0.8459847,0.6963221,0.57741094,1.0445882,0.721729,0.6624607,1.5359603,7.273513,0.72623926,0.87864274,0.36599296,2.6970892,0.734229,0.8044122,0.6371885,3.7936409,0.6816353,0.82648754,0.884901,1.1845464,0.71509194,0.6991905,0.5683964,2.7767923,0.81296533,0.68771374,0.7049415,4.9081287,0.67256695,0.6946673,0.84846973,2.8669698,0.8334635,0.6571994,1.3437871,4.261531,0.67689496,1.050817,0.80030435,1.1457697,0.88109064,0.8895846,2.2810214,0.78805065,0.7444157,0.8335682,1.1832285,-1
1552365_at,0.3883663,0.39551568,16.577145,16.927252,19.986095,7.691715,25.74567,0.33760977,0.6601288,0.3438735,0.42581028,3.9096596,11.087385,0.99066514,2.3172276,1.0007931,2.01194,0.36596066,24.179188,3.4263077,4.8136687,5.3547306,0.60088295,1.1326791,0.5822052,0.31796432,11.584654,1.3480741,1.606031,4.7065682,5.332218,3.1209643,2.516086,3.1499445,2.252408,5.840504,0.7591348,1.2672199,1.1313951,0.9165858,0.9083965,0.32776356,0.38830668,0.36109194,0.37397537,5.8647895,0.60577327,1.3809799,5.110094,0.9155483,1.1667975,0.44634655,0.9992069,0.56199986,0.30729654,1.8458371,2.3472009,0.62579864,2.183727,4.927583,9.096401,5.5068917,4.9315243,6.338482,7.0450473,7.141421,7.1166587,0.98265815,4.027433,2.5688589,0.9104199,15.791592,18.300835,4.348268,8.245559,0.59378856,1.0150142,0.48767167,0.77736914,0.50518185,0.6189445,10.622875,0.581082,0.46527642,0.6411407,17.559889,0.5609409,0.45175856,1.6629876,0.3825494,0.37961343,0.44595805,0.45630476,1.9488281,6.9169836,0.41074648,0.47231767,0.36259344,0.44263712,7.97161,2.4599037,1.0717437,0.6401902,0.3612503,0.71808577,0.45316637,0.45495287,0.7001491,2.6446822,0.3505541,0.461838,0.79112613,2.684489,0.39973867,0.46527642,1.5915109,2.856873,2.1564562,1.8891478,2.3733912,5.596353,0.43308422,3.5421166,0.45884377,0.4384705,0.85100394,0.6612536,0.5742169,0.45647424,0.35423636,0.9194301,0.3283284,3.9795618,0.29245788,0.4038316,0.39019784,0.70438606,0.9599395,0.3762512,0.44263697,0.660403,1.0426406,0.4000405,0.5584135,4.874537,1.3312052,0.7291147,0.55387634,0.33990854,0.8863098,0.3431605,0.4161117,0.61289614,1.7284846,0.39293528,0.642569,2.1378357,1.357903,15.987351,1.6421713,5.927043,9.489367,1.5199158,1.1877545,7.24768,9.799384,3.6790743,2.8790925,7.3638034,0.8174165,1.080774,0.66548866,0.5728879,-1
1552367_a_at,0.5549886,0.61699575,7.2253623,7.641775,6.6673374,3.2865376,7.0273623,0.69634694,0.5333823,0.45337585,0.68159866,2.0904543,8.601649,0.68413347,2.733022,1.2141603,1.5834668,0.4965316,8.652682,1.161324,3.6197379,3.161854,0.91302043,1.5721288,0.68299025,0.7361712,10.644887,0.834941,2.0419464,5.534071,6.1991777,2.9701521,2.9038713,1.7316788,3.0848293,4.990682,1.015301,1.2326106,1.983841,0.64042276,1.3280277,0.7886119,0.544903,0.5070385,0.568759,2.4498029,0.968589,1.1454511,3.2640185,0.7385896,0.62784505,0.731192,1.2215977,0.36779112,0.65398777,1.1723225,1.6784362,0.5326276,2.1563606,5.4574943,2.3520956,3.7494898,1.9617754,5.2455645,6.735797,3.661305,6.560265,1.189465,2.4040856,1.5321355,0.6678366,11.935768,13.141121,2.4926908,7.4047427,1.0608481,0.7266406,0.45218,1.013608,0.48679343,0.64663166,9.847763,0.51610965,0.9630367,0.68654597,15.04221,0.54451436,0.78723305,2.6226926,0.53062236,0.81123114,0.46965468,0.7110338,2.4431577,4.6640563,0.45870954,0.67769146,0.4598356,0.665241,6.564837,1.9522063,0.7074965,0.6921703,0.72912705,0.80127287,0.49475545,0.76962304,0.71997553,1.5688623,0.38344857,0.50858843,0.83104545,1.4515427,0.4773358,0.74726254,0.86753553,2.3949876,1.9591852,2.551647,1.9121982,2.4808733,0.49353924,1.9875959,0.47339085,0.6756841,0.7256984,0.60007447,0.46850422,0.7270335,0.59581965,0.502157,0.61665267,2.725456,0.58694303,0.47742605,0.6150538,0.9863921,0.6929553,0.46166098,0.56069547,0.63454324,1.2510549,0.4483575,0.5951943,2.624111,1.4000487,0.5753501,0.64759225,0.7757828,1.1149615,0.44742805,0.5743496,0.7588585,1.1455239,0.4434788,0.64771235,1.5628128,2.4476662,9.332411,1.1241071,5.848364,7.2678285,0.91804814,0.9474493,6.374576,7.196709,2.0487747,2.0704515,5.865036,0.9801529,1.6116995,0.74878865,0.6138008,-1
1553105_s_at,0.45479852,0.47640008,0.17926794,0.16960609,0.17561974,0.18796574,0.23512137,0.4663182,0.42873678,0.4746075,0.5032802,0.4330174,0.4073952,0.41519117,0.45279935,0.45024985,0.41959283,0.4394488,0.17616993,0.4981254,0.39331463,0.46350318,0.46124706,0.43543714,0.4730551,0.47037965,0.53622806,0.41920507,0.45811993,0.47942203,0.44324663,0.45548528,0.47490072,0.42469713,0.464622,0.43630978,0.46999466,0.46421278,0.42695704,0.88215834,0.6516175,0.45588717,0.44090587,0.4473953,0.47923568,0.4683813,1.2743304,0.42709884,0.41611606,0.4289645,3.265794,0.4703798,0.45145267,0.42565975,0.5165167,0.48478454,0.41376203,0.44655186,0.48128384,0.41636786,0.17304127,0.47897026,0.48110533,0.45400017,0.41446677,0.41269255,0.48856738,0.45890528,0.42277893,0.43986365,0.48938358,0.4368711,0.4118882,0.4331934,0.4837895,0.47951245,0.41025594,0.4201553,1.9130685,0.4208691,1.4789387,0.4609862,0.4413596,0.50384045,0.48369968,0.44703573,0.6696552,0.5324661,0.4562065,0.46084413,0.50199056,0.45018908,0.5403237,0.4508443,0.4399689,0.42872208,0.5048691,0.427188,0.5084394,0.4505045,0.41935495,0.42023462,0.5268677,0.4763588,2.1104455,0.4102088,0.52911943,0.46993658,0.40158206,0.4466361,0.59117043,0.47960287,0.44940796,0.4368862,0.531184,0.45325693,0.48594704,0.42855063,0.40739524,0.6385823,0.4726167,0.49298736,0.42414016,0.4551418,0.51997644,0.44957113,0.4340396,0.43026152,0.520073,0.5059813,0.4337112,0.51222473,0.43025059,18.702358,0.42646343,0.49882025,0.48387158,0.42558637,0.42791414,0.48262444,0.44754177,0.41975167,0.4319692,0.5361319,0.47215664,0.4165885,0.4370514,0.5069333,0.4827779,0.3913855,0.43746364,0.5109677,0.48314226,0.42760333,0.43074882,0.5018824,0.4382735,0.40948075,0.40064907,0.47507685,0.4456055,0.40539718,0.41841528,0.46790782,0.4486399,0.3954774,0.4801251,0.4691399,0.4188003,0.4331116,0.4950423,2.2630484,0.47763872,-1
1553126_a_at,1.2072192,2.11579,1.2341676,2.148127,1.8300657,3.4805672,5.7242217,1.1196358,0.7541283,0.86289155,0.76984805,1.245714,1.0165454,0.8853159,1.4507322,1.0410528,0.94552135,0.63268334,1.0194013,1.2057402,1.118413,1.6830397,0.7784329,0.34404066,1.8102736,1.299692,1.7771991,0.8458079,2.6806066,0.28321996,0.31501958,0.14858918,0.94842887,1.3616188,1.4159156,0.5952836,1.8244267,0.87248063,0.9353848,1.0898879,0.85710406,0.43968233,1.0219423,0.86877173,1.033264,0.7244525,1.2779171,1.4696811,1.638402,1.9259158,1.7658455,0.91131574,0.49982154,0.6786768,0.9828047,0.9698131,1.2230641,0.7890829,1.2243322,1.4664019,2.2256367,0.69609624,0.5065719,0.7702583,0.5734853,1.605683,1.5021994,1.3776526,1.2961723,1.2932719,1.4344152,0.9422381,1.2781594,1.0753881,1.0448247,0.42919925,0.34131902,0.5048959,0.29156286,0.5632735,0.6750042,0.38721752,2.630648,2.567256,0.36605534,3.2971618,0.3976329,0.671509,1.8731385,1.4303384,0.191781,0.053207975,0.11787105,0.61430746,2.0202384,0.470324,0.7880467,0.4249328,1.0405705,1.8704296,0.8325275,0.93686414,1.3020759,0.90549314,6.122683,1.0202516,1.1058252,0.95511544,0.2513005,0.25971135,0.13894418,0.6444395,0.50945914,0.1003642,0.34387985,2.1775692,2.0558422,1.2144098,1.0585281,0.41553003,1.5320188,0.45700762,0.12400563,0.053742643,0.090937115,1.0800364,0.746749,0.15550047,0.28710982,0.36925164,0.24589445,0.38449255,2.410259,23.42324,1.577759,1.0403771,0.8662532,1.4475248,0.9289445,0.6878933,2.6751046,0.98345476,0.3356692,0.49966794,1.2169306,0.70396334,0.0570007,0.19921264,0.75786996,0.86429125,0.16147928,0.6631868,0.9147585,0.6048989,0.089168385,0.0632495,1.5438044,1.2461773,1.7243617,2.3433995,1.5841976,2.0165002,1.8233868,1.1277767,0.9581817,1.8995264,1.9266523,1.1465507,1.8224652,0.9366867,1.13976,1.6238719,1.0645776,-1
1553541_at,0.3736381,0.4041464,0.1757219,0.16734314,0.17363822,0.1824871,0.2003326,0.3999023,0.35567,0.37145945,0.42750427,0.3758521,0.3433771,0.348448,0.38799086,0.37670335,0.35319015,0.3778198,0.17118444,0.40859,0.34559223,0.42418748,0.38517737,0.36191225,0.40317348,0.3931743,0.3285135,0.35281357,0.39160472,0.4018673,0.37522328,0.37939113,0.40504676,0.3579757,0.38871086,0.376468,0.3982691,0.38867852,0.36624995,0.36769468,0.38526648,0.3838002,0.36965927,0.42110744,0.44209656,0.3955423,0.3982693,0.36338025,0.34350705,0.36075506,0.39745763,0.39547884,0.3677073,0.42261928,0.4377726,0.40292946,0.34742692,0.38039422,0.40935084,0.3492378,0.17064972,0.42397013,0.4111004,0.37912568,0.3529898,0.3478571,0.41178706,0.38300508,0.35332382,0.3638308,0.41739932,0.35922518,0.34130538,0.36259738,0.41385415,0.3999777,0.36198083,0.35381344,0.41988328,0.35401365,0.41996112,0.38517737,0.36936307,0.43997005,0.40965465,0.37394372,0.3662409,0.44530526,0.5207491,0.37789127,0.41833293,0.37839046,0.4525475,0.3738028,0.5080616,0.3711792,0.42434493,0.35716626,0.43244773,0.36283258,0.352323,0.35228175,0.4250538,0.39652404,0.34788707,0.34459138,0.43899202,0.39465967,0.41580147,0.3715995,0.45532525,0.39802206,0.36198056,0.36458632,0.43882927,0.36458656,0.40904725,0.36167154,0.34020996,0.5188791,0.41416106,0.40974724,0.35823518,0.36287114,0.43972537,0.37812623,0.36486733,0.36075526,0.4467113,0.42589286,0.3652814,0.40859234,0.36434054,4.1321726,0.35953227,0.42379448,0.4016403,0.3574232,0.36143643,0.4130107,0.3740848,0.34690166,0.3728634,0.4230093,0.44200745,0.35292315,0.36748666,0.42861572,0.40920657,0.3340263,0.36978135,0.43090674,0.40277758,0.36300898,0.36389938,0.42702907,0.3631062,0.3505286,0.3317075,0.4042964,0.37542725,0.3311958,0.35062423,0.3981216,0.37798387,0.33421576,0.40707994,0.39176854,0.35925296,0.36198232,0.41801885,0.3784689,0.40957865,-1
1553977_a_at,0.8413621,0.8639408,0.5390775,0.78136826,0.38942367,1.0740418,1.3849661,0.7296862,1.0382646,0.82751024,0.83480567,0.7672115,0.65922594,0.7357541,0.79168564,0.7588681,0.6025913,0.825016,0.50843096,1.1463299,0.9620783,0.8329496,2.2188032,3.4696946,0.92564094,0.6472372,2.0156577,0.8303247,0.8238863,0.7932444,0.7985701,0.80975133,0.7978757,0.9071342,0.8200757,2.1340783,0.7759883,0.77696323,0.51243484,0.7564428,0.7725426,0.6876154,0.9965202,0.7850832,0.85946715,1.7453251,1.6383427,0.7421729,1.0263568,0.8029061,0.84055316,0.5517155,1.0685431,0.94646657,0.856444,0.85392624,1.5115288,0.78523093,0.8164347,1.5753978,0.72734326,1.3768678,0.99987173,0.76619965,0.7568128,0.75587237,0.87441736,0.68425316,1.0390507,0.8092935,0.86892164,0.9647026,0.99144506,0.78286475,0.87636566,0.6012433,1.0729978,0.7683801,0.92615575,0.77186674,0.8421129,1.0522962,1.0295435,0.9304593,1.8085433,1.501319,0.7923737,0.92444026,1.0542699,0.81619287,0.7936929,0.8151156,0.9692029,0.75118184,0.9359377,0.65281636,0.8084497,0.6595004,0.90158516,1.071313,0.78956056,0.94539624,0.8863346,0.7847661,2.7610822,0.7911788,1.027883,0.54592144,0.9374727,0.7988272,0.9737063,0.8252793,0.90781283,0.78849655,0.9586571,0.7734702,0.8304823,0.87066936,0.8736233,1.0244318,0.82388675,0.8367157,0.88643765,0.7017285,0.9155689,0.74497616,0.8582314,1.1782094,0.87037313,0.8646175,0.7027389,0.8567617,0.76202196,8.9351225,0.6951406,0.8355799,0.7698195,1.6284523,0.78286487,0.81613195,0.75544256,1.4128512,0.7504729,0.8737688,0.6096899,0.78732395,0.8070067,0.9044322,0.8610387,0.73983204,0.69173944,0.84473306,0.80788404,0.80859995,0.78953886,0.83480597,0.9068561,0.726247,0.7672214,0.85628504,0.80302477,0.95717806,0.76131034,0.78729403,0.8441621,0.858718,0.86747265,0.69438934,0.91817284,0.898788,0.8742551,1.0165108,0.9128567,-1
1553986_at,0.66562504,1.0384196,0.33398336,0.38638577,0.47282982,0.3161902,0.75806105,0.7368749,0.6984988,0.66650456,0.8036666,0.69086385,0.63909465,0.6278155,1.0103085,0.7396584,0.97877735,0.66927636,0.41731572,0.76692206,0.6125878,0.68000984,1.7420988,1.4806908,1.021423,0.70813817,0.61258775,0.637242,0.70400363,0.7570106,0.6938909,0.6843413,0.63315487,0.8225295,0.6751098,0.65676916,0.68812835,0.8870719,2.1641996,0.6608705,1.1962444,0.6933429,0.68684113,0.67383695,0.70256966,0.71387863,0.71678174,0.989011,0.6398202,0.66990757,0.7072752,0.71134955,1.3057163,1.0000644,0.7972837,0.72625536,0.59545505,0.6623679,0.7517682,0.60765755,0.52217346,0.7510399,0.7015279,0.7157889,0.85936785,0.7806528,0.7102982,0.7227044,0.662726,0.87668395,0.7487077,3.1967685,0.62169045,0.6549133,0.8048602,0.75658244,0.635239,0.64778715,0.9719022,0.581527,0.72158235,0.7359031,0.6771499,0.73250276,0.9420916,0.7357642,0.6366413,0.7797387,1.0346464,0.6830519,0.7607301,0.6772779,0.7790159,0.67362946,1.8406162,0.6494997,0.7368621,0.6386862,0.7478751,0.8198515,0.723779,0.6338854,1.1632138,0.71592385,2.426987,0.6213355,0.75512123,0.9623414,0.6279532,0.6686452,0.92187166,0.7360419,0.74954855,0.6530625,0.7635698,0.6576372,0.7367255,1.3828511,0.63861126,1.1441591,0.7238609,0.74525774,0.6670007,0.6786847,0.7554015,0.71108115,0.7043355,0.64888763,0.75975657,0.7895146,5.0359964,0.7266852,0.8921036,9.892042,0.64364505,0.72992635,0.72762614,0.7403916,0.61550266,0.72911483,0.7053403,0.6467544,0.56455624,0.71611726,0.7053402,0.6537635,0.63448334,0.7416606,0.72941107,0.6069375,0.6608704,0.74162585,0.763892,0.6755056,0.65652144,1.020855,0.9506207,0.64248765,0.6256878,0.69880134,1.0867732,1.3356855,1.0770241,0.7781498,0.7246144,0.62676656,0.7063578,0.73437864,0.6576077,0.74764687,0.83140665,0.9160785,0.7038737,-1
